"","Year","Age","Female","Male","Total","OpenInterval","Country"
"1",1921,0,3842.31,5124.54,8966.85,FALSE,"AUS"
"2",1921,1,719.25,890.36,1609.61,FALSE,"AUS"
"3",1921,2,330.11,358.94,689.05,FALSE,"AUS"
"4",1921,3,166.06,249.66,415.72,FALSE,"AUS"
"5",1921,4,190.07,196.52,386.59,FALSE,"AUS"
"6",1921,5,149.05,153.4,302.45,FALSE,"AUS"
"7",1921,6,150.05,137.36,287.41,FALSE,"AUS"
"8",1921,7,109.04,118.31,227.35,FALSE,"AUS"
"9",1921,8,81.03,114.3,195.33,FALSE,"AUS"
"10",1921,9,78.03,82.22,160.25,FALSE,"AUS"
"11",1921,10,69.02,85.22,154.24,FALSE,"AUS"
"12",1921,11,62.03,116.31,178.34,FALSE,"AUS"
"13",1921,12,59.02,88.24,147.26,FALSE,"AUS"
"14",1921,13,73.02,81.21,154.23,FALSE,"AUS"
"15",1921,14,72.02,93.24,165.26,FALSE,"AUS"
"16",1921,15,78.02,74.19,152.21,FALSE,"AUS"
"17",1921,16,86.03,99.27,185.3,FALSE,"AUS"
"18",1921,17,100.04,118.31,218.35,FALSE,"AUS"
"19",1921,18,113.04,118.31,231.35,FALSE,"AUS"
"20",1921,19,101.03,111.29,212.32,FALSE,"AUS"
"21",1921,20,138.05,115.3,253.35,FALSE,"AUS"
"22",1921,21,118.04,148.4,266.44,FALSE,"AUS"
"23",1921,22,116.04,147.39,263.43,FALSE,"AUS"
"24",1921,23,149.05,139.37,288.42,FALSE,"AUS"
"25",1921,24,146.05,157.42,303.47,FALSE,"AUS"
"26",1921,25,166.06,146.38,312.44,FALSE,"AUS"
"27",1921,26,162.05,165.44,327.49,FALSE,"AUS"
"28",1921,27,189.07,159.42,348.49,FALSE,"AUS"
"29",1921,28,183.06,176.47,359.53,FALSE,"AUS"
"30",1921,29,194.07,192.51,386.58,FALSE,"AUS"
"31",1921,30,183.06,182.48,365.54,FALSE,"AUS"
"32",1921,31,148.05,211.56,359.61,FALSE,"AUS"
"33",1921,32,197.06,204.54,401.6,FALSE,"AUS"
"34",1921,33,213.07,211.56,424.63,FALSE,"AUS"
"35",1921,34,201.07,195.52,396.59,FALSE,"AUS"
"36",1921,35,180.06,249.65,429.71,FALSE,"AUS"
"37",1921,36,199.07,213.56,412.63,FALSE,"AUS"
"38",1921,37,212.07,214.56,426.63,FALSE,"AUS"
"39",1921,38,238.08,229.61,467.69,FALSE,"AUS"
"40",1921,39,195.07,256.68,451.75,FALSE,"AUS"
"41",1921,40,198.07,278.74,476.81,FALSE,"AUS"
"42",1921,41,165.06,206.55,371.61,FALSE,"AUS"
"43",1921,42,190.07,260.69,450.76,FALSE,"AUS"
"44",1921,43,180.06,266.71,446.77,FALSE,"AUS"
"45",1921,44,178.06,236.62,414.68,FALSE,"AUS"
"46",1921,45,194.06,315.83,509.89,FALSE,"AUS"
"47",1921,46,174.06,252.67,426.73,FALSE,"AUS"
"48",1921,47,188.06,299.8,487.86,FALSE,"AUS"
"49",1921,48,192.06,314.84,506.9,FALSE,"AUS"
"50",1921,49,199.07,274.73,473.8,FALSE,"AUS"
"51",1921,50,235.08,377,612.08,FALSE,"AUS"
"52",1921,51,185.06,306.81,491.87,FALSE,"AUS"
"53",1921,52,238.08,334.89,572.97,FALSE,"AUS"
"54",1921,53,213.07,365.97,579.04,FALSE,"AUS"
"55",1921,54,262.09,373.98,636.07,FALSE,"AUS"
"56",1921,55,241.08,376.99,618.07,FALSE,"AUS"
