"","Year","Age","OpenInterval","Female1","Male1","Total1","Female2","Male2","Total2","Country"
"1",1921,0,FALSE,62847.68,65851.28,128698.96,64647.12,67298.36,131945.48,"AUS"
"2",1921,1,FALSE,57777.3,60216.58,117993.88,61421.37,63919.73,125341.1,"AUS"
"3",1921,2,FALSE,56940.78,59047.16,115987.94,57309.04,59661.92,116970.96,"AUS"
"4",1921,3,FALSE,58272.29,60217.82,118490.11,56694.25,58744.66,115438.91,"AUS"
"5",1921,4,FALSE,58718.95,60773.16,119492.11,58093.42,59994.25,118087.67,"AUS"
"6",1921,5,FALSE,59887.79,61686.66,121574.45,58552.05,60600,119152.05,"AUS"
"7",1921,6,FALSE,61033.62,62332.64,123366.26,59738.08,61541.37,121279.45,"AUS"
"8",1921,7,FALSE,59455.12,60775.78,120230.9,60903.29,62204.11,123107.4,"AUS"
"9",1921,8,FALSE,57735.82,58806.14,116541.96,59360.27,60659.45,120019.72,"AUS"
"10",1921,9,FALSE,56180.87,57139.91,113320.78,57655.34,58707.4,116362.74,"AUS"
"11",1921,10,FALSE,54371.71,56003.21,110374.92,56109.04,57057.81,113166.85,"AUS"
"12",1921,11,FALSE,52719.21,54661.55,107380.76,54306.58,55902.47,110209.05,"AUS"
"13",1921,12,FALSE,51964.96,53089.46,105054.42,52658.63,54559.45,107218.08,"AUS"
"14",1921,13,FALSE,51180.98,51993.91,103174.89,51899.18,53004.93,104904.11,"AUS"
"15",1921,14,FALSE,49233.62,51185.66,100419.28,51108.22,51906.58,103014.8,"AUS"
"16",1921,15,FALSE,48232.89,50293.65,98526.54,49158.63,51102.47,100261.1,"AUS"
"17",1921,16,FALSE,46904.49,47973.97,94878.46,48151.23,50207.4,98358.63,"AUS"
"18",1921,17,FALSE,45554.9,46119.54,91674.44,46810.68,47864.38,94675.06,"AUS"
"19",1921,18,FALSE,45807.14,46115.8,91922.94,45450.41,46003.29,91453.7,"AUS"
"20",1921,19,FALSE,46120.55,46167.75,92288.3,45699.18,46000,91699.18,"AUS"
"21",1921,20,FALSE,46774.42,46332.58,93107,46000,46052.05,92052.05,"AUS"
"22",1921,21,FALSE,46227.13,44912.95,91140.08,46646.3,46200,92846.3,"AUS"
"23",1921,22,FALSE,45428.67,43293.79,88722.46,46109.86,44765.21,90875.07,"AUS"
"24",1921,23,FALSE,46195.72,42954.23,89149.95,45297.53,43151.23,88448.76,"AUS"
"25",1921,24,FALSE,47001.76,43296.31,90298.07,46047.12,42804.93,88852.05,"AUS"
"26",1921,25,FALSE,47266.36,44159.28,91425.64,46847.12,43145.48,89992.6,"AUS"
"27",1921,26,FALSE,47570.64,44656.86,92227.5,47100.82,44001.64,91102.46,"AUS"
"28",1921,27,FALSE,47788.8,45617.27,93406.07,47396.71,44495.89,91892.6,"AUS"
"29",1921,28,FALSE,47887.23,46382.42,94269.65,47601.64,45447.95,93049.59,"AUS"
"30",1921,29,FALSE,47147.58,46539.94,93687.52,47698.36,46197.53,93895.89,"AUS"
"31",1921,30,FALSE,45670.89,46347.92,92018.81,46958.63,46352.88,93311.51,"AUS"
"32",1921,31,FALSE,44973.4,46606.88,91580.28,45504.11,46150.41,91654.52,"AUS"
"33",1921,32,FALSE,44359.31,46164.01,90523.32,44802.47,46399.18,91201.65,"AUS"
"34",1921,33,FALSE,43065.26,44562.98,87628.24,44152.88,45955.34,90108.22,"AUS"
"35",1921,34,FALSE,41692.44,43273.56,84966,42857.81,44359.45,87217.26,"AUS"
"36",1921,35,FALSE,40793.53,42387.1,83180.63,41503.29,43052.88,84556.17,"AUS"
"37",1921,36,FALSE,39266.09,41072.1,80338.19,40603.29,42155.34,82758.63,"AUS"
"38",1921,37,FALSE,37331.03,38982.12,76313.15,39059.45,40856.99,79916.44,"AUS"
"39",1921,38,FALSE,36216.97,37642.84,73859.81,37106.58,38760.27,75866.85,"AUS"
"40",1921,39,FALSE,35748.24,37269.4,73017.64,36001.64,37401.64,73403.28,"AUS"
"41",1921,40,FALSE,35083.55,36743.64,71827.19,35551.23,37001.64,72552.87,"AUS"
"42",1921,41,FALSE,33439.1,35393.55,68832.65,34902.47,36501.64,71404.11,"AUS"
"43",1921,42,FALSE,31439.85,33470.34,64910.19,33260.27,35159.45,68419.72,"AUS"
"44",1921,43,FALSE,30082.91,32006.03,62088.94,31255.34,33205.75,64461.09,"AUS"
"45",1921,44,FALSE,29238.07,30928.2,60166.27,29904.93,31756.16,61661.09,"AUS"
"46",1921,45,FALSE,28636.18,30235.93,58872.11,29051.23,30652.05,59703.28,"AUS"
"47",1921,46,FALSE,27933.16,29627.9,57561.06,28452.88,29952.88,58405.76,"AUS"
"48",1921,47,FALSE,27194.14,28961.62,56155.76,27752.05,29351.23,57103.28,"AUS"
"49",1921,48,FALSE,26546.48,28789.54,55336.02,27003.29,28652.88,55656.17,"AUS"
"50",1921,49,FALSE,26167.75,28925.26,55093.01,26351.23,28497.53,54848.76,"AUS"
"51",1921,50,FALSE,25613.16,28844.26,54457.42,25951.23,28598.36,54549.59,"AUS"
"52",1921,51,FALSE,24763.4,27872.61,52636.01,25402.47,28500.82,53903.29,"AUS"
"53",1921,52,FALSE,23930.03,26656.94,50586.97,24553.7,27554.52,52108.22,"AUS"
"54",1921,53,FALSE,22745.1,25723.58,48468.68,23702.47,26304.11,50006.58,"AUS"
"55",1921,54,FALSE,21600.22,25122.51,46722.73,22506.58,25352.88,47859.46,"AUS"
"56",1921,55,FALSE,21160.67,24974.7,46135.37,21352.05,24750.41,46102.46,"AUS"
"57",1921,56,FALSE,20716.22,24504.19,45220.41,20900.82,24549.59,45450.41,"AUS"
"58",1921,57,FALSE,20160.54,23554.41,43714.95,20452.05,24052.88,44504.93,"AUS"
"59",1921,58,FALSE,19369.11,22539.88,41908.99,19901.64,23102.47,43004.11,"AUS"
"60",1921,59,FALSE,18430.07,21600.79,40030.86,19103.29,22053.7,41156.99,"AUS"
"61",1921,60,FALSE,17629.84,20702.55,38332.39,18152.88,21052.05,39204.93,"AUS"
"62",1921,61,FALSE,16384.7,19189.96,35574.66,17352.05,20152.88,37504.93,"AUS"
"63",1921,62,FALSE,15218.41,17571.85,32790.26,16106.58,18706.58,34813.16,"AUS"
"64",1921,63,FALSE,14528.24,16560.46,31088.7,14901.64,17053.7,31955.34,"AUS"
"65",1921,64,FALSE,13546.16,15607.73,29153.89,14202.47,16051.23,30253.7,"AUS"
