N=10, K=1, t1=[[0.35 0.15],[0.15 0.35]], t2=[[0.35 0.15],[0.15 0.35]]
N=10, K=2, t1=[[0.45 0.05],[0.1 0.4]], t2=[[0.45 0.05],[0.1 0.4]]
N=10, K=3, t1=[[0.5 0. ],[0.05 0.45]], t2=[[0.5 0. ],[0.1 0.4]]
N=10, K=4, t1=[[0.5 0. ],[0.05 0.45]], t2=[[0.5 0. ],[0.05 0.45]]
N=10, K=5, t1=[[0.5 0. ],[0.1 0.4]], t2=[[0.5 0. ],[0.1 0.4]]
N=10, K=6, t1=[[0.5 0. ],[0.1 0.4]], t2=[[0.5 0. ],[0.1 0.4]]
N=10, K=7, t1=[[0.5 0. ],[0.1 0.4]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=8, t1=[[0.5 0. ],[0.1 0.4]], t2=[[0.5 0. ],[0.05 0.45]]
N=10, K=9, t1=[[0.5 0. ],[0.05 0.45]], t2=[[0.5 0. ],[0.05 0.45]]
N=10, K=10, t1=[[0.5 0. ],[0.1 0.4]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=11, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=12, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=13, t1=[[0.5 0. ],[0.05 0.45]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=14, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=15, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=16, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=17, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=18, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=19, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=20, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=21, t1=[[0.5 0. ],[0.05 0.45]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=22, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=23, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=24, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
