N=10, K=1, t=[[0.5 0. ],[0.1 0.4]]
N=10, K=2, t=[[0.5 0. ],[0.2 0.3]]
N=10, K=3, t=[[0.5 0. ],[0.05 0.45]]
N=10, K=4, t=[[0.5 0. ],[0.05 0.45]]
N=10, K=5, t=[[0.5 0. ],[0.05 0.45]]
N=10, K=6, t=[[0.5 0. ],[0.  0.5]]
N=10, K=7, t=[[0.5 0. ],[0.  0.5]]
N=10, K=8, t=[[0.5 0. ],[0.  0.5]]
N=10, K=9, t=[[0.45 0.05],[0.  0.5]]
N=10, K=10, t=[[0.5 0. ],[0.  0.5]]
N=10, K=11, t=[[0.5 0. ],[0.  0.5]]
N=10, K=12, t=[[0.5 0. ],[0.  0.5]]
N=10, K=13, t=[[0.5 0. ],[0.  0.5]]
N=10, K=14, t=[[0.5 0. ],[0.  0.5]]
N=10, K=15, t=[[0.5 0. ],[0.  0.5]]
N=10, K=16, t=[[0.5 0. ],[0.  0.5]]
N=10, K=17, t=[[0.5 0. ],[0.  0.5]]
N=10, K=18, t=[[0.5 0. ],[0.  0.5]]
N=10, K=19, t=[[0.5 0. ],[0.05 0.45]]
N=10, K=20, t=[[0.5 0. ],[0.  0.5]]
N=10, K=21, t=[[0.5 0. ],[0.  0.5]]
N=10, K=22, t=[[0.5 0. ],[0.  0.5]]
N=10, K=23, t=[[0.5 0. ],[0.  0.5]]
N=10, K=24, t=[[0.5 0. ],[0.  0.5]]
N=10, K=25, t=[[0.5 0. ],[0.  0.5]]
N=10, K=26, t=[[0.5 0. ],[0.  0.5]]
N=10, K=27, t=[[0.5 0. ],[0.  0.5]]
N=10, K=28, t=[[0.5 0. ],[0.  0.5]]
N=10, K=29, t=[[0.5 0. ],[0.  0.5]]
N=10, K=30, t=[[0.5 0. ],[0.  0.5]]
N=10, K=31, t=[[0.5 0. ],[0.  0.5]]
N=10, K=32, t=[[0.5 0. ],[0.  0.5]]
N=10, K=33, t=[[0.5 0. ],[0.  0.5]]
N=10, K=34, t=[[0.5 0. ],[0.  0.5]]
N=10, K=35, t=[[0.5 0. ],[0.  0.5]]
N=10, K=36, t=[[0.5 0. ],[0.  0.5]]
N=10, K=37, t=[[0.5 0. ],[0.  0.5]]
N=10, K=38, t=[[0.5 0. ],[0.  0.5]]
N=10, K=39, t=[[0.5 0. ],[0.  0.5]]
N=10, K=40, t=[[0.5 0. ],[0.  0.5]]
N=10, K=41, t=[[0.5 0. ],[0.  0.5]]
N=10, K=42, t=[[0.5 0. ],[0.  0.5]]
N=10, K=43, t=[[0.5 0. ],[0.  0.5]]
N=10, K=44, t=[[0.5 0. ],[0.  0.5]]
N=10, K=45, t=[[0.5 0. ],[0.  0.5]]
N=10, K=46, t=[[0.5 0. ],[0.  0.5]]
N=10, K=47, t=[[0.5 0. ],[0.  0.5]]
N=10, K=48, t=[[0.5 0. ],[0.  0.5]]
N=10, K=49, t=[[0.5 0. ],[0.  0.5]]
N=10, K=50, t=[[0.5 0. ],[0.  0.5]]
N=10, K=51, t=[[0.5 0. ],[0.  0.5]]
N=10, K=52, t=[[0.5 0. ],[0.  0.5]]
N=10, K=53, t=[[0.5 0. ],[0.  0.5]]
N=10, K=54, t=[[0.5 0. ],[0.  0.5]]
N=10, K=55, t=[[0.5 0. ],[0.  0.5]]
N=10, K=56, t=[[0.5 0. ],[0.  0.5]]
N=10, K=57, t=[[0.5 0. ],[0.  0.5]]
N=10, K=58, t=[[0.5 0. ],[0.  0.5]]
N=10, K=59, t=[[0.5 0. ],[0.  0.5]]
N=10, K=60, t=[[0.5 0. ],[0.  0.5]]
N=10, K=61, t=[[0.5 0. ],[0.  0.5]]
N=10, K=62, t=[[0.5 0. ],[0.  0.5]]
N=10, K=63, t=[[0.5 0. ],[0.  0.5]]
N=10, K=64, t=[[0.5 0. ],[0.  0.5]]
N=10, K=65, t=[[0.5 0. ],[0.  0.5]]
N=10, K=66, t=[[0.5 0. ],[0.  0.5]]
N=10, K=67, t=[[0.5 0. ],[0.  0.5]]
